# Prepositions 

à            | to, at, in
à côté de    | next to, beside
après        | after
au sujet de  | about, on the subject of
avant        | before
avec         | with 
chez         | at the home/office of, among
comme        | like
contre       | against
dans         | in
d'après      | according to
de           | from, of, about
depuis       | since, for
derrière     | in back of, behind
devant       | in front of
durant       | during, while
en           | in, on, to
en dehors de | outside of
en face de   | facing, across from
entre        | between
envers       | toward 
environ      | approximately
hors de      | outside of
loin de      | far from
malgré       | despite
par          | by, through
parmi        | among
pendant      | during, while
pour         | for
près de      | near
quant à      | as for, regarding
sans         | without
selon        | according to
sous         | under
suivant      | according to
sur          | on
vers         | toward
